Criteria,Model Name,"Max Sensitivity at Specificity=1-Prevalence",AUC,"F1-Score Positive Class",Accuracy,Specificity,PPV,NPV,PLR,NLR
C3,ANN,0.03,0.50,0.02,0.78,0.99,0.25,0.79,1.22,1.00
C3,"VGG16-no-TL",0.00,0.52,0.00,0.79,1.00,0.00,0.79,,1.00
C3,"VGG16-TL",0.19,0.44,0.19,0.68,0.81,0.21,0.78,0.97,1.01
C3,"ResNet50-no-TL",0.13,0.44,0.14,0.71,0.87,0.19,0.78,0.87,1.02
C3,"ResNet50-TL",0.32,0.56,0.29,0.68,0.79,0.28,0.81,1.44,0.88
C3,"MobileNet-no-TL",0.27,0.51,0.25,0.67,0.79,0.25,0.79,1.20,0.95
C3,"MobileNet-TL",0.17,0.50,0.17,0.68,0.82,0.19,0.78,0.86,1.03
C3,"ResNet18-no-TL",0.18,0.47,0.19,0.69,0.84,0.22,0.79,1.01,1.00
C3,"ResNet18-TL",0.32,0.57,0.30,0.70,0.80,0.30,0.81,1.57,0.86
C3,"ResNet18-TL",0.23,0.46,0.22,0.67,0.79,0.23,0.79,1.07,0.98
LBW,ANN,0.25,0.55,0.25,0.78,0.88,0.27,0.86,1.96,0.87
LBW,"VGG16-no-TL",0.24,0.53,0.22,0.74,0.84,0.21,0.85,1.41,0.92
LBW,"VGG16-TL",0.17,0.54,0.15,0.74,0.85,0.16,0.84,0.99,1.00
LBW,"ResNet50-no-TL",0.18,0.51,0.18,0.76,0.88,0.20,0.85,1.35,0.95
LBW,"ResNet50-TL",0.22,0.56,0.20,0.74,0.84,0.20,0.85,1.32,0.94
LBW,"MobileNet-no-TL",0.14,0.56,0.13,0.74,0.86,0.15,0.84,0.90,1.02
LBW,"MobileNet-TL",0.25,0.59,0.24,0.76,0.86,0.24,0.86,1.67,0.89
LBW,"ResNet18-no-TL",0.21,0.50,0.19,0.74,0.84,0.19,0.85,1.23,0.96
LBW,"ResNet18-TL",0.18,0.51,0.17,0.74,0.84,0.17,0.84,1.06,0.99
PRE,ANN,0.00,0.46,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,"VGG16-no-TL",0.08,0.33,0.00,0.90,0.97,0.00,0.93,0.00,1.03
PRE,"VGG16-TL",0.08,0.42,0.00,0.86,0.93,0.00,0.92,0.00,1.08
PRE,"ResNet50-no-TL",0.00,0.47,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,"ResNet50-TL",0.17,0.42,0.10,0.89,0.95,0.12,0.93,1.83,0.96
PRE,"MobileNet-no-TL",0.08,0.56,0.00,0.87,0.94,0.00,0.92,0.00,1.07
PRE,"MobileNet-TL",0.00,0.23,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,"ResNet18-no-TL",0.08,0.46,0.00,0.86,0.93,0.00,0.92,0.00,1.08
PRE,"ResNet18-TL",0.08,0.58,0.00,0.87,0.94,0.00,0.92,0.00,1.06
CIR,ANN,0.33,0.55,0.29,0.91,0.96,0.33,0.94,6.42,0.78
CIR,"VGG16-no-TL",0,0.47,0,0.93,1,0,0.93,,1
CIR,"VGG16-TL",0.17,0.55,0.10,0.89,0.95,0.12,0.93,1.83,0.96
CIR,"ResNet50-no-TL",0,0.38,0,0.93,1,0,0.93,,1
CIR,"ResNet50-TL",0.08,0.36,0,0.89,0.95,0,0.92,0,1.05
CIR,"MobileNet-no-TL",0.25,0.45,0.16,0.87,0.93,0.15,0.93,2.33,0.90
CIR,"MobileNet-TL",0,0.46,0,0.93,1,0,0.93,,1
CIR,"ResNet18-no-TL",0,0.57,0,0.93,1,0,0.93,,1
CIR,"ResNet18-TL",0,0.46,0,0.93,1,0,0.93,,1
