Criteria,Model Name,Max Sensitivity at Specificity=1-Prevalence,AUC,F1-Score Positive Class,Accuracy,Specificity,PPV,NPV,PLR,NLR
PRE,ResNet18-TL-no-CW,0.00,0.39,0.00,0.93,1.00,0.00,0.93,,1.00
CIR,ANN,0.08,0.36,0,0.87,0.94,0,0.92,0,1.06
CIR,ANN-no-CW,0,0.35,0,0.93,1,0,0.93,,1
CIR,VGG16-no-TL,0,0.55,0,0.93,1,0,0.93,,1
CIR,VGG16-no-TL-no-CW,0.08,0.41,0,0.87,0.94,0,0.92,0,1.06
CIR,VGG16-TL,0,0.51,0,0.93,1,0,0.93,,1
CIR,VGG16-TL-no-CW,0.17,0.65,0.09,0.87,0.94,0.09,0.93,1.28,0.98
CIR,ResNet50-no-TL,0.17,0.44,0.1,0.89,0.95,0.12,0.93,1.83,0.96
CIR,ResNet50-no-TL-no-CW,0.08,0.46,0,0.93,1,0,0.93,,1
CIR,ResNet50-TL,0.08,0.52,0,0.89,0.96,0,0.92,0,1.04
CIR,ResNet50-TL-no-CW,0.17,0.56,0.1,0.89,0.95,0.11,0.93,1.6,0.97
CIR,MobileNet-no-TL,0,0.5,0,0.93,1,0,0.93,,1
CIR,MobileNet-no-TL-no-CW,0,0.52,0,0.93,1,0,0.93,,1
CIR,MobileNet-TL,0.08,0.58,0,0.88,0.95,0,0.92,0,1.05
CIR,MobileNet-TL-no-CW,0,0.39,0,0.93,1,0,0.93,,1
CIR,ResNet18-no-TL,0.08,0.53,0,0.88,0.95,0,0.92,0,1.05
CIR,ResNet18-no-TL-no-CW,0.08,0.45,0,0.87,0.94,0,0.92,0,1.07
CIR,ResNet18-TL,0.25,0.56,0.16,0.87,0.93,0.15,0.93,2.33,0.9
CIR,ResNet18-TL-no-CW,0,0.52,0,0.93,1,0,0.93,,1
