Model Name,AUC,F1-Score Positive Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
C3-SVC-AUG,0.56,0.29,0.59,0.6,0.59,0.19,0.9,1.46,0.68
C3-SVC-AUG-no-CW,0.56,0.26,0.41,0.76,0.35,0.16,0.9,1.16,0.7
C3-LR-AUG,0.43,0.25,0.14,1,0,0.14,,1,
C3-LR-AUG-no-CW,0.49,0.25,0.15,1,0.01,0.14,1,1.01,0
C3-SVC-no-AUG,0.49,0.25,0.14,1,0,0.14,,1,
C3-SVC-no-AUG-no-CW,0.56,0.27,0.48,0.67,0.45,0.17,0.89,1.22,0.73
C3-LR-no-AUG,0.53,0.26,0.43,0.71,0.39,0.16,0.89,1.16,0.75
C3-LR-no-AUG-no-CW,0.53,0.26,0.44,0.71,0.4,0.16,0.9,1.19,0.72
CIR-SVC-AUG,0.62,0.17,0.7,0.48,0.72,0.11,0.95,1.7,0.73
CIR-SVC-AUG-no-CW,0.63,0.19,0.71,0.52,0.72,0.12,0.96,1.9,0.66
CIR-LR-AUG,0.43,0.12,0.12,0.95,0.06,0.07,0.95,1.02,0.76
CIR-LR-AUG-no-CW,0.47,0.13,0.18,0.95,0.13,0.07,0.98,1.09,0.37
CIR-SVC-no-AUG,0.38,0.12,0.06,1,0,0.06,,1,
CIR-SVC-no-AUG-no-CW,0.47,0.12,0.06,1,0,0.06,,1,
CIR-LR-no-AUG,0.61,0.17,0.82,0.29,0.85,0.12,0.95,1.93,0.84
CIR-LR-no-AUG-no-CW,0.61,0.16,0.87,0.19,0.92,0.14,0.94,2.41,0.88
LBW-SVC-AUG,0.6,0.14,0.39,0.89,0.36,0.08,0.98,1.39,0.31
LBW-SVC-AUG-no-CW,0.63,0.16,0.9,0.17,0.94,0.15,0.95,2.97,0.88
LBW-LR-AUG,0.49,0.11,0.06,1,0,0.06,,1,
LBW-LR-AUG-no-CW,0.57,0.14,0.54,0.67,0.53,0.08,0.96,1.41,0.63
LBW-SVC-no-AUG,0.63,0.14,0.55,0.67,0.54,0.08,0.96,1.46,0.61
LBW-SVC-no-AUG-no-CW,0.56,0.11,0.06,1,0,0.06,,1,
LBW-LR-no-AUG,0.61,0.17,0.91,0.17,0.95,0.17,0.95,3.37,0.88
LBW-LR-no-AUG-no-CW,0.61,0.19,0.92,0.17,0.96,0.21,0.95,4.59,0.86
PRE-SVC-AUG,0.33,0.12,0.09,1,0.03,0.07,1,1.03,0
PRE-SVC-AUG-no-CW,0.32,0.12,0.08,1,0.02,0.07,1,1.02,0
PRE-LR-AUG,0.39,0.12,0.06,1,0,0.06,,1,
PRE-LR-AUG-no-CW,0.45,0.12,0.09,1,0.03,0.07,1,1.03,0
PRE-SVC-no-AUG,0.51,0.12,0.06,1,0,0.06,,1,
PRE-SVC-no-AUG-no-CW,0.55,0.12,0.06,1,0,0.06,,1,
PRE-LR-no-AUG,0.52,0.13,0.23,0.9,0.18,0.07,0.97,1.11,0.52
PRE-LR-no-AUG-no-CW,0.52,0.14,0.6,0.52,0.6,0.08,0.95,1.32,0.79
